lusid_identifier,date_(DD/MM/YYYY),market_value,returns,portfolio_scope,performance_scope,performance_code
ABC,31/12/2009,10002,0.00627967,returns-load,gross-of-fees,total
ABC,31/12/2009,10003,0.002891292,returns-load,net-of-fees,total
ABC,31/12/2009,10004,0.008663238,returns-load,external-reported,total
ABC,31/12/2009,10005,0.006582679,returns-load,external-reported,growth
ABC,31/12/2009,10006,0.005647624,returns-load,external-reported,income
ABC,31/12/2009,10007,0.002343169,returns-load,benchmark-index-level,total
ABC,01/01/2010,10008,0.004633162,returns-load,gross-of-fees,total
ABC,01/01/2010,10008,0.004633162,returns-load,net-of-fees,total
ABC,01/01/2010,10008,0.004633162,returns-load,external-reported,total
ABC,01/01/2010,10008,0.004633162,returns-load,external-reported,growth
ABC,01/01/2010,10008,0.004633162,returns-load,external-reported,income
ABC,01/01/2010,10008,0.004633162,returns-load,benchmark-index-level,total
ABC,02/01/2010,10008,0.004633162,returns-load,gross-of-fees,total
ABC,02/01/2010,10008,0.004633162,returns-load,net-of-fees,total
ABC,02/01/2010,10008,0.004633162,returns-load,external-reported,total
ABC,02/01/2010,10008,0.004633162,returns-load,external-reported,growth
ABC,02/01/2010,10008,0.004633162,returns-load,external-reported,income
ABC,02/01/2010,10008,0.004633162,returns-load,benchmark-index-level,total
ABC,03/01/2010,10008,0.004633162,returns-load,gross-of-fees,total
ABC,03/01/2010,10008,0.004633162,returns-load,net-of-fees,total
ABC,03/01/2010,10008,0.004633162,returns-load,external-reported,total
ABC,03/01/2010,10008,0.004633162,returns-load,external-reported,growth
ABC,03/01/2010,10008,0.004633162,returns-load,external-reported,income
ABC,03/01/2010,10008,0.004633162,returns-load,benchmark-index-level,total
ABC,04/01/2010,10008,0.004633162,returns-load,gross-of-fees,total
ABC,04/01/2010,10008,0.004633162,returns-load,net-of-fees,total
ABC,04/01/2010,10008,0.004633162,returns-load,external-reported,total
ABC,04/01/2010,10008,0.004633162,returns-load,external-reported,growth
ABC,04/01/2010,10008,0.004633162,returns-load,external-reported,income
ABC,04/01/2010,10008,0.004633162,returns-load,benchmark-index-level,total
ABC,05/01/2010,10008,0.004633162,returns-load,gross-of-fees,total
ABC,05/01/2010,10008,0.004633162,returns-load,net-of-fees,total
ABC,05/01/2010,10008,0.004633162,returns-load,external-reported,total
ABC,05/01/2010,10008,0.004633162,returns-load,external-reported,growth
ABC,05/01/2010,10008,0.004633162,returns-load,external-reported,income
ABC,05/01/2010,10008,0.004633162,returns-load,benchmark-index-level,total
ABC,06/01/2010,10008,0.004633162,returns-load,gross-of-fees,total
ABC,06/01/2010,10008,0.004633162,returns-load,net-of-fees,total
ABC,06/01/2010,10008,0.004633162,returns-load,external-reported,total
ABC,06/01/2010,10008,0.004633162,returns-load,external-reported,growth
ABC,06/01/2010,10008,0.004633162,returns-load,external-reported,income
ABC,06/01/2010,10008,0.004633162,returns-load,benchmark-index-level,total
ABC,07/01/2010,10008,0.004633162,returns-load,gross-of-fees,total
ABC,07/01/2010,10008,0.004633162,returns-load,net-of-fees,total
ABC,07/01/2010,10008,0.004633162,returns-load,external-reported,total
ABC,07/01/2010,10008,0.004633162,returns-load,external-reported,growth
ABC,07/01/2010,10008,0.004633162,returns-load,external-reported,income
ABC,07/01/2010,10008,0.004633162,returns-load,benchmark-index-level,total
ABC,08/01/2010,10008,0.004633162,returns-load,gross-of-fees,total
ABC,08/01/2010,10008,0.004633162,returns-load,net-of-fees,total
ABC,08/01/2010,10008,0.004633162,returns-load,external-reported,total
ABC,08/01/2010,10008,0.004633162,returns-load,external-reported,growth
ABC,08/01/2010,10008,0.004633162,returns-load,external-reported,income
ABC,08/01/2010,10008,0.004633162,returns-load,benchmark-index-level,total
ABC,09/01/2010,10008,0.004633162,returns-load,gross-of-fees,total
ABC,09/01/2010,10008,0.004633162,returns-load,net-of-fees,total
ABC,09/01/2010,10008,0.004633162,returns-load,external-reported,total
ABC,09/01/2010,10008,0.004633162,returns-load,external-reported,growth
ABC,09/01/2010,10008,0.004633162,returns-load,external-reported,income
ABC,09/01/2010,10008,0.004633162,returns-load,benchmark-index-level,total
